"日期","AQI","AQI级别","PM2.5","PM10","SO2","CO","NO2","O3_8h","排名"
2013-12-02,83,"良",61,117,19,0.8,72,110,21
2013-12-03,89,"良",66,114,13,0.8,79,107,23
2013-12-04,107,"轻度污染",81,147,35,1,76,93,28
2013-12-05,95,"良",71,116,20,0.8,66,98,34
2013-12-06,117,"轻度污染",88,146,32,1,88,91,38
2013-12-07,137,"轻度污染",105,153,38,1.1,98,100,26
2013-12-08,130,"轻度污染",99,129,33,1.1,87,106,36
2013-12-09,132,"轻度污染",101,139,35,1.1,74,106,60
2013-12-10,186,"中度污染",140,191,36,1.3,48,106,104
2013-12-11,175,"中度污染",132,168,33,1.3,64,83,111
2013-12-12,145,"轻度污染",111,146,30,1.3,74,52,79
2013-12-13,168,"中度污染",127,134,30,1.6,98,34,91
2013-12-14,124,"轻度污染",95,79,15,1.5,72,36,51
2013-12-15,58,"良",42,3,7,1.3,55,27,25
2013-12-16,23,"优",15,13,6,1.4,45,30,9
2013-12-17,25,"优",18,18,8,1.4,50,26,17
2013-12-18,30,"优",21,28,10,1.1,35,46,12
2013-12-19,46,"优",29,46,13,1,41,63,13
2013-12-20,65,"良",47,69,22,1,57,72,25
2013-12-21,92,"良",69,100,30,1.2,69,71,28
2013-12-22,116,"轻度污染",88,118,31,1.4,53,91,32
2013-12-23,128,"轻度污染",98,126,35,1.4,80,85,35
2013-12-24,110,"轻度污染",83,116,34,1.4,77,90,28
2013-12-25,126,"轻度污染",96,130,39,1.5,81,88,29
2013-12-26,109,"轻度污染",82,111,33,1.4,71,95,48
2013-12-27,139,"轻度污染",106,136,38,1.4,43,109,86
2013-12-28,137,"轻度污染",105,128,35,1.3,61,90,91
2013-12-29,92,"良",68,96,27,1,66,98,36
2013-12-30,142,"轻度污染",108,151,41,1.3,99,90,80
2013-12-31,153,"中度污染",117,169,45,1.4,111,108,147
2014-01-01,144,"轻度污染",110,148,35,1.4,97,102,116
2014-01-02,124,"轻度污染",94,118,15,1.2,83,84,73
2014-01-03,164,"中度污染",125,156,25,1.3,95,133,104
2014-01-04,176,"中度污染",133,175,39,1.5,86,127,148
2014-01-05,152,"中度污染",116,167,29,1.3,75,118,95
2014-01-06,137,"轻度污染",105,134,19,1.3,51,120,68
2014-01-07,72,"良",52,68,13,1,57,102,33
2014-01-08,92,"良",69,97,21,1.4,91,65,124
2014-01-09,74,"良",54,68,26,1.6,65,95,101
2014-01-10,87,"良",64,87,12,1.2,71,85,60
2014-01-11,72,"良",52,75,10,0.9,62,95,32
2014-01-12,102,"轻度污染",76,103,20,1.2,75,105,95
2014-01-13,59,"良",42,43,17,1.2,50,71,31
2014-01-14,65,"良",47,59,15,1.2,49,104,37
2014-01-15,70,"良",51,69,13,1.1,47,118,27
2014-01-16,80,"良",59,92,11,1.1,64,118,22
2014-01-17,116,"轻度污染",88,145,23,1.3,87,134,47
2014-01-18,105,"轻度污染",79,114,24,1.2,65,141,51
2014-01-19,126,"轻度污染",96,142,20,1.3,63,133,61
